Rank,County,Population
1,Los Angeles,10081570
2,San Diego,3316073
3,Orange,3168044
4,Riverside,2411439
5,San Bernardino,2149031
6,Santa Clara,1927470
7,Alameda,1656754
8,Sacramento,1524553
9,Contra Costa,1142251
10,Fresno,984521
11,Kern,887641
12,San Francisco,874961
13,Ventura,847263
14,San Mateo,767423
15,San Joaquin,742603
16,Stanislaus,543194
17,Sonoma,499772
18,Tulare,461898
19,Santa Barbara,444829
20,Solano,441829
21,Monterey,433410
22,Placer,385512
23,San Luis Obispo,282165
24,Santa Cruz,273962
25,Merced,271382
26,Marin,259943
27,Butte,225817
28,Yolo,217352
29,El Dorado,188563
30,Imperial,180701
31,Shasta,179212
32,Madera,155433
33,Kings,150691
34,Napa,139623
35,Humboldt,135940
36,Nevada,99244
37,Sutter,96109
38,Mendocino,87224
39,Yuba,76360
40,Lake,64195
41,Tehama,63912
42,San Benito,60376
43,Tuolumne,54045
44,Calaveras,45514
45,Siskiyou,43468
46,Amador,38429
47,Lassen,30818
48,Glenn,27976
49,Del Norte,27495
50,Colusa,21454
51,Plumas,18660
52,Inyo,17977
53,Mariposa,17420
54,Mono,14310
55,Trinity,12700
56,Modoc,8907
57,Sierra,3040
58,Alpine,1039
59,0-California-State,40129160