Country,Population
Earth,7674000000
Afghanistan,38928346
Albania,2877797
Algeria,43851044
Andorra,77142
Angola,32866272
Antigua and Barbuda,97118
Argentina,45195774
Armenia,2963243
Australia,25499884
Austria,9006398
Azerbaijan,10020000
Bahamas,389482
Bahrain,1701575
Bangladesh,163000000
Barbados,287375
Belarus,9449323
Belgium,11589623
Belize,397628
Benin,11800000
Bhutan,771608
Bolivia,11673021
Bosnia and Herzegovina,3301000
Botswana,2351627
Brazil,212559417
Brunei,433285
Bulgaria,6948445
Burkina Faso,20320000
Burma,54050000
Burundi,11530000
Cabo Verde,555987
Cambodia,16718965
Cameroon,25880000
Canada,37742154
Central African Republic,4745000
Chad,16425864
Chile,18950000
China,1439323776
Colombia,50340000
Comoros,869601
Congo (Brazzaville),2308000
Congo (Kinshasa),17070000
Costa Rica,5048000
Cote d'Ivoire,25720000
Croatia,4105267
Cuba,11330000
Cyprus,1207359
Czechia,10650000
Denmark,5792202
Diamond Princess,2666
Djibouti,988000
Dominica,71808
Dominican Republic,10740000
Ecuador,17370000
Egypt,100400000
El Salvador,6454000
Equatorial Guinea,1402985
Eritrea,3546421
Estonia,1326535
Eswatini,1148000
Ethiopia,114963588
Fiji,896445
Finland,5540720
France,67060000
Gabon,2173000
Gambia,2416668
Georgia,3720000
Germany,83783942
Ghana,31072940
Greece,10423054
Grenada,112523
Guatemala,16600000
Guinea,13132795
Guinea-Bissau,1968001
Guyana,786552
Haiti,11402528
Holy See,825
Honduras,9904607
Hungary,9660351
Iceland,341243
India,1380004385
Indonesia,273523615
Iran,83992949
Iraq,40222493
Ireland,4937786
Israel,9053000
Italy,60360000
Jamaica,2948000
Japan,126300000
Jordan,10100000
Kazakhstan,18776707
Kenya,52570000
Kiribati,117606
South Korea,51710000
Kosovo,1873000
Kuwait,4270571
Kyrgyzstan,6457000
Laos,7169000
Latvia,1886198
Lebanon,6825445
Lesotho,2142249
Liberia,4937000
Libya,6871292
Liechtenstein,38378
Lithuania,2722289
Luxembourg,613894
MS Zaandam,1800
Madagascar,26970000
Malawi,19129952
Malaysia,31950000
Maldives,530953
Mali,19660000
Malta,441543
Marshall Islands,58791
Mauritania,4649658
Mauritius,1266000
Mexico,128932753
Micronesia,113815
Moldova,2658000
Monaco,38964
Mongolia,3278290
Montenegro,628066
Morocco,36470000
Mozambique,31255435
Namibia,2540905
Nepal,28610000
Netherlands,17280000
New Zealand,4917000
Nicaragua,6546000
Niger,24206644
Nigeria,206139589
North Macedonia,2077000
Norway,5328000
Oman,5106626
Pakistan,220892340
Panama,4246000
Papua New Guinea,8776000
Paraguay,7132538
Peru,32971854
Philippines,108100000
Poland,37846611
Portugal,10196709
Qatar,2881053
Romania,19237691
Russia,145934462
Rwanda,12952218
Saint Kitts and Nevis,52834
Saint Lucia,182790
Saint Vincent and the Grenadines,110589
Samoa,197097
San Marino,33860
Sao Tome and Principe,219159
Saudi Arabia,34813871
Senegal,16300000
Serbia,6945000
Seychelles,98347
Sierra Leone,7813000
Singapore,5704000
Slovakia,5459642
Slovenia,2081000
Solomon Islands,686884
Somalia,15440000
South Africa,58560000
South Sudan,11193725
Spain,46754778
Sri Lanka,21800000
Sudan,42810000
Suriname,581363
Sweden,10099265
Switzerland,8654622
Syria,17500658
Taiwan*,23816775
Tajikistan,9321000
Tanzania,59734218
Thailand,69799978
Timor-Leste,1318445
Togo,8082000
Trinidad and Tobago,1395000
Tunisia,11690000
Turkey,84339067
US,328200000
Uganda,45741007
Ukraine,43733762
United Arab Emirates,9890402
United Kingdom,66650000
Uruguay,3462000
Uzbekistan,33580000
Vanuatu,307145
Venezuela,28435940
Vietnam,97338579
West Bank and Gaza,5790000
Yemen,29825964
Zambia,18383955
Zimbabwe,14650000
Antarctica,5000
Palau,18092
Tonga,105697
Summer Olympics 2020,11656
Winter Olympics 2022,2893